product,price,link
Karta graficzna Gigabyte GeForce RTX 3070 Eagle OC 8GB GDDR6 (GV-N3070EAGLE OC-8GD 2.0),2 699 zł,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-3070-eagle-oc-8gb-gddr6-gv-n3070eagle-oc-8gd-2-0-5944661/
Karta graficzna Asus Phoenix GeForce GT 1030 OC 2GB GDDR5 (PH-GT1030-O2G),499 zł,https://www.morele.net/karta-graficzna-asus-phoenix-geforce-gt-1030-oc-2gb-gddr5-ph-gt1030-o2g-1301615/
Karta graficzna MSI GeForce GT 710 Low Profile 2GB DDR3,249 zł,https://www.morele.net/karta-graficzna-msi-geforce-gt-710-low-profile-2gb-ddr3-853058/
Karta graficzna Gigabyte GeForce GT 1030 Silent Low Profile 2GB GDDR5 (GV-N1030SL-2GL),"447,65 zł",https://www.morele.net/karta-graficzna-gigabyte-geforce-gt-1030-silent-low-profile-2gb-gddr5-gv-n1030sl-2gl-1292550/
Karta graficzna Asus Dual GeForce RTX 2060 OC Evo 6GB GDDR6 (DUAL-RTX2060-O6G-EVO),1 369 zł,https://www.morele.net/karta-graficzna-asus-dual-geforce-rtx-2060-oc-evo-6gb-gddr6-dual-rtx2060-o6g-evo-6130161/
Karta graficzna Gigabyte GeForce RTX 3060 Vision OC 12GB GDDR6 (GV-N3060VISION OC-12GD 2.0),"2 068,99 zł",https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-3060-vision-oc-12gb-gddr6-gv-n3060vision-oc-12gd-2-0-5948082/
Karta graficzna Gigabyte GeForce RTX 3050 Eagle OC 8GB GDDR6 (GV-N3050EAGLE OC-8GD),"1 505,14 zł",https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-3050-eagle-oc-8gb-gddr6-gv-n3050eagle-oc-8gd-9710305/
Karta graficzna Asus TUF GeForce RTX 3080 Gaming OC 10GB GDDR6X (TUF-RTX3080-O10G-V2-GAMING),3 999 zł,https://www.morele.net/karta-graficzna-asus-tuf-geforce-rtx-3080-gaming-oc-10gb-gddr6x-tuf-rtx3080-o10g-v2-gaming-5948912/
Karta graficzna Asus TUF GeForce RTX 3060 Gaming OC 12GB GDDR6 (TUF-RTX3060-O12G-V2-GAMING),1 999 zł,https://www.morele.net/karta-graficzna-asus-tuf-geforce-rtx-3060-gaming-oc-12gb-gddr6-tuf-rtx3060-o12g-v2-gaming-5948083/
Karta graficzna Asus GeForce GT 1030 Low Profile 2GB GDDR5 (GT1030-2G-BRK),"495,75 zł",https://www.morele.net/karta-graficzna-asus-geforce-gt-1030-low-profile-2gb-gddr5-gt1030-2g-brk-1699238/
