product,price,link
MSI GeForce RTX 3060 GAMING X 12GB GDDR6,"2 299,00 zł",https://www.x-kom.pl/p/630711-karta-graficzna-nvidia-msi-geforce-rtx-3060-gaming-x-12gb-gddr6.html
MSI GeForce RTX 3060 VENTUS 2X OC 8GB GDDR6,"1 529,00 zł",https://www.x-kom.pl/p/1088561-karta-graficzna-nvidia-msi-geforce-rtx-3060-ventus-2x-oc-8gb-gddr6.html
XFX Radeon RX 6600 Gaming SPEEDSTER SWFT 8GB GDDR6,"1 829,00 zł",https://www.x-kom.pl/p/688538-karta-graficzna-amd-xfx-radeon-rx-6600-gaming-speedster-swft-8gb-gddr6.html
Gainward GeForce RTX 3060 Ti Ghost LHR 8GB GDDR6,"2 199,00 zł",https://www.x-kom.pl/p/610289-karta-graficzna-nvidia-gainward-geforce-rtx-3060-ti-ghost-lhr-8gb-gddr6.html
ASUS GeForce RTX 3060 Ti TUF Gaming OC 8GB GDDR6X,"2 599,00 zł",https://www.x-kom.pl/p/1102503-karta-graficzna-nvidia-asus-geforce-rtx-3060-ti-tuf-gaming-oc-8gb-gddr6x.html
ASRock Arc A380 Challenger ITX OC 6GB GDDR6,"699,00 zł",https://www.x-kom.pl/p/1086704-karta-graficzna-intel-asrock-arc-a380-challenger-itx-oc-6gb-gddr6.html
Gigabyte GeForce RTX 3050 EAGLE OC 8GB GDDR6,"1 629,00 zł",https://www.x-kom.pl/p/715688-karta-graficzna-nvidia-gigabyte-geforce-rtx-3050-eagle-oc-8gb-gddr6.html
ASUS GeForce GTX 1050 Ti Phoenix 4GB GDDR5,"869,00 zł",https://www.x-kom.pl/p/331742-karta-graficzna-nvidia-asus-geforce-gtx-1050-ti-phoenix-4gb-gddr5.html
Sapphire Radeon RX 6500 XT PULSE 4GB GDDR6,"799,00 zł",https://www.x-kom.pl/p/715803-karta-graficzna-amd-sapphire-radeon-rx-6500-xt-pulse-4gb-gddr6.html
ASUS GeForce RTX 3060 DUAL OC V2 LHR 12GB GDDR6,"1 849,00 zł",https://www.x-kom.pl/p/662307-karta-graficzna-nvidia-asus-geforce-rtx-3060-dual-oc-v2-lhr-12gb-gddr6.html
Zotac GeForce RTX 3060 Ti Gaming Twin Edge LHR 8GB GDDR6,"2 139,00 zł",https://www.x-kom.pl/p/661602-karta-graficzna-nvidia-zotac-geforce-rtx-3060-ti-gaming-twin-edge-lhr-8gb-gddr6.html
Zotac GeForce RTX 3060 Ti GAMING Twin Edge White 8GB GDDR6X,"2 299,00 zł",https://www.x-kom.pl/p/1101308-karta-graficzna-nvidia-zotac-geforce-rtx-3060-ti-gaming-twin-edge-white-8gb-gddr6x.html
Gainward GeForce RTX 4080 Phantom 16GB GDDR6X,"6 899,00 zł",https://www.x-kom.pl/p/1083481-karta-graficzna-nvidia-gainward-geforce-rtx-4080-phantom-16gb-gddr6x.html
Gainward GeForce RTX 4090 Phantom 24GB GDDR6X,"10 099,00 zł",https://www.x-kom.pl/p/1075253-karta-graficzna-nvidia-gainward-geforce-rtx-4090-phantom-24gb-gddr6x.html
Zotac GeForce RTX 3070 Ti Gaming Trinity 8GB GDDRX6,"3 599,00 zł",https://www.x-kom.pl/p/657042-karta-graficzna-nvidia-zotac-geforce-rtx-3070-ti-gaming-trinity-8gb-gddrx6.html
MSI GeForce RTX 3070 Ti VENTUS 3X OC 8GB GDDR6X,"3 099,00 zł",https://www.x-kom.pl/p/655245-karta-graficzna-nvidia-msi-geforce-rtx-3070-ti-ventus-3x-oc-8gb-gddr6x.html
Gainward GeForce GTX 1650 D6 Ghost 4GB GDDR6,"749,00 zł",https://www.x-kom.pl/p/625694-karta-graficzna-nvidia-gainward-geforce-gtx-1650-d6-ghost-4gb-gddr6.html
Gainward GeForce RTX 4080 Phoenix GS 16GB GDDR6X,"6 399,00 zł",https://www.x-kom.pl/p/1107142-karta-graficzna-nvidia-gainward-geforce-rtx-4080-phoenix-gs-16gb-gddr6x.html
Zotac GeForce RTX 4070 Ti Gaming AMP EXTREME AIRO 12GB GDDR6X,"5 099,00 zł",https://www.x-kom.pl/p/1101320-karta-graficzna-nvidia-zotac-geforce-rtx-4070-ti-gaming-amp-extreme-airo-12gb-gddr6x.html
Inno3D GeForce RTX 4070 Ti X3 OC 12GB GDDR6X,"4 459,00 zł",https://www.x-kom.pl/p/1096137-karta-graficzna-nvidia-inno3d-geforce-rtx-4070-ti-x3-oc-12gb-gddr6x.html
PNY GeForce RTX 3060 Ti VERTO DUAL FAN 8GB GDDR6,"2 499,00 zł",https://www.x-kom.pl/p/1072994-karta-graficzna-nvidia-pny-geforce-rtx-3060-ti-verto-dual-fan-8gb-gddr6.html
MSI GeForce RTX 3060 Ti VENTUS 2X V1 OC LHR 8GB GDDR6,"2 299,00 zł",https://www.x-kom.pl/p/675319-karta-graficzna-nvidia-msi-geforce-rtx-3060-ti-ventus-2x-v1-oc-lhr-8gb-gddr6.html
ASUS GeForce RTX 3060 TUF GAMING OC V2 LHR 12GB GDDR6,"2 539,00 zł",https://www.x-kom.pl/p/662309-karta-graficzna-nvidia-asus-geforce-rtx-3060-tuf-gaming-oc-v2-lhr-12gb-gddr6.html
MSI GeForce GT 710 Low Profile 2GB DDR3,"249,00 zł",https://www.x-kom.pl/p/285436-karta-graficzna-nvidia-msi-geforce-gt-710-low-profile-2gb-ddr3.html
Sapphire Radeon RX 7900 XTX PULSE GAMING OC 24GB GDDR6,"6 049,00 zł",https://www.x-kom.pl/p/1116315-karta-graficzna-amd-sapphire-radeon-rx-7900-xtx-pulse-gaming-oc-24gb-gddr6.html
MSI GeForce RTX 3060 Ti VENTUS 3X OC 8GB GDDR6X,"2 449,00 zł",https://www.x-kom.pl/p/1110988-karta-graficzna-nvidia-msi-geforce-rtx-3060-ti-ventus-3x-oc-8gb-gddr6x.html
Gainward GeForce GTX 1650 Pegasus 4GB GDDR5,"959,00 zł",https://www.x-kom.pl/p/1084463-karta-graficzna-nvidia-gainward-geforce-gtx-1650-pegasus-4gb-gddr5.html
ASRock Radeon RX 6500 XT Phantom Gaming D OC 4GB GDDR6,"1 129,00 zł",https://www.x-kom.pl/p/715089-karta-graficzna-amd-asrock-radeon-rx-6500-xt-phantom-gaming-d-oc-4gb-gddr6.html
PowerColor Radeon RX 6700 XT Hellhound 12GB GDDR6,"2 199,00 zł",https://www.x-kom.pl/p/692049-karta-graficzna-amd-powercolor-radeon-rx-6700-xt-hellhound-12gb-gddr6.html
Gigabyte GeForce RTX 3060 VISION OC LHR 12GB GDDR6,"2 299,00 zł",https://www.x-kom.pl/p/661708-karta-graficzna-nvidia-gigabyte-geforce-rtx-3060-vision-oc-lhr-12gb-gddr6.html
Zotac GeForce RTX 3060 Ti Gaming Twin Edge OC LHR 8GB GDDR6,"2 199,00 zł",https://www.x-kom.pl/p/661601-karta-graficzna-nvidia-zotac-geforce-rtx-3060-ti-gaming-twin-edge-oc-lhr-8gb-gddr6.html
MSI GeForce RTX 3060 GAMING Z TRIO LHR 12GB GDDR6,"4 299,00 zł",https://www.x-kom.pl/p/655233-karta-graficzna-nvidia-msi-geforce-rtx-3060-gaming-z-trio-lhr-12gb-gddr6.html
MSI GeForce RTX 3060 Ventus X3 OC 12GB GDDR6,"1 979,00 zł",https://www.x-kom.pl/p/632856-karta-graficzna-nvidia-msi-geforce-rtx-3060-ventus-x3-oc-12gb-gddr6.html
Gainward GeForce GT 710 2GB DDR3,"239,00 zł",https://www.x-kom.pl/p/498904-karta-graficzna-nvidia-gainward-geforce-gt-710-2gb-ddr3.html
Gainward GeForce RTX 4070 Ti Phantom 12GB GDDR6X,"4 629,00 zł",https://www.x-kom.pl/p/1117254-karta-graficzna-nvidia-gainward-geforce-rtx-4070-ti-phantom-12gb-gddr6x.html
KFA2 GeForce GTX 1630 EX 1‑Click OC 4GB GDDR6,"829,00 zł",https://www.x-kom.pl/p/1100063-karta-graficzna-nvidia-kfa2-geforce-gtx-1630-ex-1-click-oc-4gb-gddr6.html
ASRock Arc A750 Challenger D OC 8GB GDDR6,"1 299,00 zł",https://www.x-kom.pl/p/1089611-karta-graficzna-intel-asrock-arc-a750-challenger-d-oc-8gb-gddr6.html
KFA2 GeForce RTX 3060 1‑Click OC Feature 8GB GDDR6,"1 899,00 zł",https://www.x-kom.pl/p/1086210-karta-graficzna-nvidia-kfa2-geforce-rtx-3060-1-click-oc-feature-8gb-gddr6.html
Inno3D GeForce RTX 2060 Gaming OC X2 6GB GDDR6,"1 399,00 zł",https://www.x-kom.pl/p/1079537-karta-graficzna-nvidia-inno3d-geforce-rtx-2060-gaming-oc-x2-6gb-gddr6.html
Sapphire Radeon RX 6650 XT PULSE GAMING OC 8GB GDDR6,"1 749,00 zł",https://www.x-kom.pl/p/742556-karta-graficzna-amd-sapphire-radeon-rx-6650-xt-pulse-gaming-oc-8gb-gddr6.html
Gigabyte GeForce RTX 3050 GAMING OC 8GB GDDR6,"1 499,00 zł",https://www.x-kom.pl/p/715689-karta-graficzna-nvidia-gigabyte-geforce-rtx-3050-gaming-oc-8gb-gddr6.html
Palit GeForce RTX 3070 Ti Gaming Pro 8GB GDDR6X,"3 299,00 zł",https://www.x-kom.pl/p/658547-karta-graficzna-nvidia-palit-geforce-rtx-3070-ti-gaming-pro-8gb-gddr6x.html
Gigabyte GeForce RTX 2060 D6 6GB GDDR6,"1 599,00 zł",https://www.x-kom.pl/p/644897-karta-graficzna-nvidia-gigabyte-geforce-rtx-2060-d6-6gb-gddr6.html
Zotac GeForce RTX 3060 Twin Edge OC LHR 12GB GDDR6,"2 149,00 zł",https://www.x-kom.pl/p/633020-karta-graficzna-nvidia-zotac-geforce-rtx-3060-twin-edge-oc-lhr-12gb-gddr6.html
Palit GeForce RTX 3060 Ti Dual LHR 8GB GDDR6,"2 199,00 zł",https://www.x-kom.pl/p/610296-karta-graficzna-nvidia-palit-geforce-rtx-3060-ti-dual-lhr-8gb-gddr6.html
ASUS GeForce RTX 2060 DUAL EVO 6GB GDDR6,"1 589,00 zł",https://www.x-kom.pl/p/541497-karta-graficzna-nvidia-asus-geforce-rtx-2060-dual-evo-6gb-gddr6.html
