product,price,link
Gigabyte H510M K,"329,00 zł",https://www.x-kom.pl/p/1108162-plyta-glowna-socket-1200-gigabyte-h510m-k.html
Gigabyte B650 GAMING X AX,"1 079,00 zł",https://www.x-kom.pl/p/1079942-plyta-glowna-socket-am5-gigabyte-b650-gaming-x-ax.html
ASRock B450 PRO4 R2.0,"429,00 zł",https://www.x-kom.pl/p/1071824-plyta-glowna-socket-am4-asrock-b450-pro4-r20.html
Gigabyte Z790 GAMING X,"1 249,00 zł",https://www.x-kom.pl/p/1070713-plyta-glowna-socket-1700-gigabyte-z790-gaming-x.html
Gigabyte H610M S2H DDR4,"419,00 zł",https://www.x-kom.pl/p/709159-plyta-glowna-socket-1700-gigabyte-h610m-s2h-ddr4.html
ASUS ROG STRIX B550‑A GAMING,"699,00 zł",https://www.x-kom.pl/p/600429-plyta-glowna-socket-am4-asus-rog-strix-b550-a-gaming.html
ASUS PRIME B550‑PLUS,"569,00 zł",https://www.x-kom.pl/p/569341-plyta-glowna-socket-am4-asus-prime-b550-plus.html
ASRock B450M‑HDV R4.0,"309,00 zł",https://www.x-kom.pl/p/528007-plyta-glowna-socket-am4-asrock-b450m-hdv-r40.html
Gigabyte B760 GAMING X AX DDR4,"889,00 zł",https://www.x-kom.pl/p/1104374-plyta-glowna-socket-1700-gigabyte-b760-gaming-x-ax-ddr4.html
ASRock B660M Pro RS DDR4,"579,00 zł",https://www.x-kom.pl/p/711304-plyta-glowna-socket-1700-asrock-b660m-pro-rs-ddr4.html
MSI MAG B660 TOMAHAWK WIFI DDR4,"1 079,00 zł",https://www.x-kom.pl/p/709184-plyta-glowna-socket-1700-msi-mag-b660-tomahawk-wifi-ddr4.html
ASUS TUF GAMING Z690‑PLUS DDR4,"1 399,00 zł",https://www.x-kom.pl/p/691389-plyta-glowna-socket-1700-asus-tuf-gaming-z690-plus-ddr4.html
Gigabyte Z690 UD DDR4,"1 099,00 zł",https://www.x-kom.pl/p/691352-plyta-glowna-socket-1700-gigabyte-z690-ud-ddr4.html
MSI MAG X570S TORPEDO MAX,"1 039,00 zł",https://www.x-kom.pl/p/685281-plyta-glowna-socket-am4-msi-mag-x570s-torpedo-max.html
Gigabyte Z590 VISION G,"1 119,00 zł",https://www.x-kom.pl/p/620885-plyta-glowna-socket-1200-gigabyte-z590-vision-g.html
ASUS PRIME B650‑PLUS,"1 049,00 zł",https://www.x-kom.pl/p/1079843-plyta-glowna-socket-am5-asus-prime-b650-plus.html
Gigabyte X670 AORUS ELITE AX,"1 599,00 zł",https://www.x-kom.pl/p/1075561-plyta-glowna-socket-am5-gigabyte-x670-aorus-elite-ax.html
ASUS TUF GAMING B660‑PLUS WIFI DDR4,"749,00 zł",https://www.x-kom.pl/p/709344-plyta-glowna-socket-1700-asus-tuf-gaming-b660-plus-wifi-ddr4.html
ASUS ROG STRIX B660‑A GAMING WIFI DDR4,"1 249,00 zł",https://www.x-kom.pl/p/709341-plyta-glowna-socket-1700-asus-rog-strix-b660-a-gaming-wifi-ddr4.html
Gigabyte B660 DS3H AX DDR4,"679,00 zł",https://www.x-kom.pl/p/709179-plyta-glowna-socket-1700-gigabyte-b660-ds3h-ax-ddr4.html
Gigabyte B660M GAMING DDR4,"619,00 zł",https://www.x-kom.pl/p/709173-plyta-glowna-socket-1700-gigabyte-b660m-gaming-ddr4.html
ASRock B450 Steel Legend,"485,00 zł",https://www.x-kom.pl/p/478734-plyta-glowna-socket-am4-asrock-b450-steel-legend.html
MSI PRO B550M‑P GEN3,"499,00 zł",https://www.x-kom.pl/p/1109196-plyta-glowna-socket-am4-msi-pro-b550m-p-gen3.html
ASRock Z790 PG Lightning,"1 199,00 zł",https://www.x-kom.pl/p/1084676-plyta-glowna-socket-1700-asrock-z790-pg-lightning.html
MSI MAG Z790 TOMAHAWK WIFI DDR4,"1 629,00 zł",https://www.x-kom.pl/p/1072762-plyta-glowna-socket-1700-msi-mag-z790-tomahawk-wifi-ddr4.html
Gigabyte H410M H V2,"299,00 zł",https://www.x-kom.pl/p/1071819-plyta-glowna-socket-1200-gigabyte-h410m-h-v2.html
Gigabyte B650M DS3H,"869,00 zł",https://www.x-kom.pl/p/1070732-plyta-glowna-socket-am5-gigabyte-b650m-ds3h.html
Gigabyte Z790 AORUS MASTER,"2 799,00 zł",https://www.x-kom.pl/p/1070699-plyta-glowna-socket-1700-gigabyte-z790-aorus-master.html
ASUS PRIME H610M‑K DDR4,"489,00 zł",https://www.x-kom.pl/p/709339-plyta-glowna-socket-1700-asus-prime-h610m-k-ddr4.html
ASRock B550M PHANTOM GAMING 4,"459,00 zł",https://www.x-kom.pl/p/667691-plyta-glowna-socket-am4-asrock-b550m-phantom-gaming-4.html
ASRock A520M‑ITX/AC,"539,00 zł",https://www.x-kom.pl/p/613677-plyta-glowna-socket-am4-asrock-a520m-itx-ac.html
ASRock B550 Phantom Gaming 4,"529,00 zł",https://www.x-kom.pl/p/569381-plyta-glowna-socket-am4-asrock-b550-phantom-gaming-4.html
ASRock X570 Pro4,"969,00 zł",https://www.x-kom.pl/p/505622-plyta-glowna-socket-am4-asrock-x570-pro4.html
ASRock B760M PG Riptide,"689,00 zł",https://www.x-kom.pl/p/1107455-plyta-glowna-socket-1700-asrock-b760m-pg-riptide.html
ASRock B760 Pro RS DDR4,"729,00 zł",https://www.x-kom.pl/p/1107453-plyta-glowna-socket-1700-asrock-b760-pro-rs-ddr4.html
MSI MAG B760M MORTAR WIFI DDR4,"969,00 zł",https://www.x-kom.pl/p/1107436-plyta-glowna-socket-1700-msi-mag-b760m-mortar-wifi-ddr4.html
Gigabyte B760M GAMING X AX DDR4,"759,00 zł",https://www.x-kom.pl/p/1104377-plyta-glowna-socket-1700-gigabyte-b760m-gaming-x-ax-ddr4.html
ASRock Z790 Pro RS DDR4,"1 049,00 zł",https://www.x-kom.pl/p/1084682-plyta-glowna-socket-1700-asrock-z790-pro-rs-ddr4.html
ASRock Z790 Pro RS,"1 149,00 zł",https://www.x-kom.pl/p/1084681-plyta-glowna-socket-1700-asrock-z790-pro-rs.html
ASUS PRIME Z790‑P DDR4,"1 249,00 zł",https://www.x-kom.pl/p/1075913-plyta-glowna-socket-1700-asus-prime-z790-p-ddr4.html
ASUS ROG STRIX Z790‑F GAMING WIFI,"2 919,00 zł",https://www.x-kom.pl/p/1075889-plyta-glowna-socket-1700-asus-rog-strix-z790-f-gaming-wifi.html
MSI MPG Z790 EDGE WIFI,"2 219,00 zł",https://www.x-kom.pl/p/1072753-plyta-glowna-socket-1700-msi-mpg-z790-edge-wifi.html
ASUS ROG STRIX X670E‑E GAMING WIFI,"2 849,00 zł",https://www.x-kom.pl/p/1072682-plyta-glowna-socket-am5-asus-rog-strix-x670e-e-gaming-wifi.html
Gigabyte B650M GAMING X AX,"949,00 zł",https://www.x-kom.pl/p/1070731-plyta-glowna-socket-am5-gigabyte-b650m-gaming-x-ax.html
ASUS ROG STRIX B550‑F GAMING WIFI II,"959,00 zł",https://www.x-kom.pl/p/722481-plyta-glowna-socket-am4-asus-rog-strix-b550-f-gaming-wifi-ii.html
ASUS PRIME B660‑PLUS DDR4,"709,00 zł",https://www.x-kom.pl/p/709342-plyta-glowna-socket-1700-asus-prime-b660-plus-ddr4.html
ASUS ROG STRIX B660‑F GAMING WIFI DDR5,"1 299,00 zł",https://www.x-kom.pl/p/709340-plyta-glowna-socket-1700-asus-rog-strix-b660-f-gaming-wifi-ddr5.html
Gigabyte H610M H DDR4,"399,00 zł",https://www.x-kom.pl/p/709163-plyta-glowna-socket-1700-gigabyte-h610m-h-ddr4.html
ASRock Z690 Phantom Gaming 4 DDR4,"859,00 zł",https://www.x-kom.pl/p/693249-plyta-glowna-socket-1700-asrock-z690-phantom-gaming-4-ddr4.html
ASRock B550M Steel Legend,"619,00 zł",https://www.x-kom.pl/p/569388-plyta-glowna-socket-am4-asrock-b550m-steel-legend.html
MSI MAG B760 TOMAHAWK WIFI DDR4,"1 029,00 zł",https://www.x-kom.pl/p/1107430-plyta-glowna-socket-1700-msi-mag-b760-tomahawk-wifi-ddr4.html
Gigabyte B760M AORUS ELITE AX,"929,00 zł",https://www.x-kom.pl/p/1104376-plyta-glowna-socket-1700-gigabyte-b760m-aorus-elite-ax.html
ASRock Z790 Taichi Carrara,"2 899,00 zł",https://www.x-kom.pl/p/1084685-plyta-glowna-socket-1700-asrock-z790-taichi-carrara.html
ASRock Z790 PG Lightning DDR4,"969,00 zł",https://www.x-kom.pl/p/1084677-plyta-glowna-socket-1700-asrock-z790-pg-lightning-ddr4.html
ASUS TUF GAMING B650‑PLUS,"1 199,00 zł",https://www.x-kom.pl/p/1079839-plyta-glowna-socket-am5-asus-tuf-gaming-b650-plus.html
ASRock B650E PG RIPTIDE WIFI,"1 229,00 zł",https://www.x-kom.pl/p/1079826-plyta-glowna-socket-am5-asrock-b650e-pg-riptide-wifi.html
ASUS PRIME Z790‑P WIFI DDR4,"1 299,00 zł",https://www.x-kom.pl/p/1075911-plyta-glowna-socket-1700-asus-prime-z790-p-wifi-ddr4.html
ASUS PRIME Z790‑P,"1 399,00 zł",https://www.x-kom.pl/p/1075909-plyta-glowna-socket-1700-asus-prime-z790-p.html
ASUS PRIME Z790‑P WIFI,"1 399,00 zł",https://www.x-kom.pl/p/1075908-plyta-glowna-socket-1700-asus-prime-z790-p-wifi.html
ASUS PRIME Z790‑A WIFI,"1 699,00 zł",https://www.x-kom.pl/p/1075906-plyta-glowna-socket-1700-asus-prime-z790-a-wifi.html
MSI MAG Z790 TOMAHAWK WIFI,"1 699,00 zł",https://www.x-kom.pl/p/1072760-plyta-glowna-socket-1700-msi-mag-z790-tomahawk-wifi.html
MSI PRO B650‑P WIFI,"1 059,00 zł",https://www.x-kom.pl/p/1072737-plyta-glowna-socket-am5-msi-pro-b650-p-wifi.html
MSI MAG B650M MORTAR WIFI,"1 199,00 zł",https://www.x-kom.pl/p/1072735-plyta-glowna-socket-am5-msi-mag-b650m-mortar-wifi.html
MSI PRO X670‑P WIFI,"1 499,00 zł",https://www.x-kom.pl/p/1072722-plyta-glowna-socket-am5-msi-pro-x670-p-wifi.html
ASUS ProArt X670E‑CREATOR WIFI,"2 799,00 zł",https://www.x-kom.pl/p/1072711-plyta-glowna-socket-am5-asus-proart-x670e-creator-wifi.html
ASUS PRIME X670‑P,"1 469,00 zł",https://www.x-kom.pl/p/1072707-plyta-glowna-socket-am5-asus-prime-x670-p.html
ASUS TUF GAMING X670E‑PLUS WIFI,"1 899,00 zł",https://www.x-kom.pl/p/1072689-plyta-glowna-socket-am5-asus-tuf-gaming-x670e-plus-wifi.html
Gigabyte B650 AORUS ELITE AX,"1 399,00 zł",https://www.x-kom.pl/p/1070729-plyta-glowna-socket-am5-gigabyte-b650-aorus-elite-ax.html
Gigabyte B650E AORUS MASTER,"2 169,00 zł",https://www.x-kom.pl/p/1070726-plyta-glowna-socket-am5-gigabyte-b650e-aorus-master.html
Gigabyte Z790 UD AX,"1 199,00 zł",https://www.x-kom.pl/p/1070720-plyta-glowna-socket-1700-gigabyte-z790-ud-ax.html
Gigabyte Z790 D DDR4,"979,00 zł",https://www.x-kom.pl/p/1070709-plyta-glowna-socket-1700-gigabyte-z790-d-ddr4.html
Gigabyte Z790 AERO G,"1 819,00 zł",https://www.x-kom.pl/p/1070701-plyta-glowna-socket-1700-gigabyte-z790-aero-g.html
NZXT N7 B550 White WI‑FI,"1 199,00 zł",https://www.x-kom.pl/p/1065857-plyta-glowna-socket-am4-nzxt-n7-b550-white-wi-fi.html
ASRock X670E Pro RS,"1 539,00 zł",https://www.x-kom.pl/p/1062401-plyta-glowna-socket-am5-asrock-x670e-pro-rs.html
ASRock A520M PHANTOM GAMING 4,"379,00 zł",https://www.x-kom.pl/p/1044297-plyta-glowna-socket-am4-asrock-a520m-phantom-gaming-4.html
ASRock H610M‑HDV DDR4,"399,00 zł",https://www.x-kom.pl/p/711295-plyta-glowna-socket-1700-asrock-h610m-hdv-ddr4.html
ASUS PRIME B660M‑K DDR4,"539,00 zł",https://www.x-kom.pl/p/709347-plyta-glowna-socket-1700-asus-prime-b660m-k-ddr4.html
Gigabyte B660 AORUS MASTER DDR4,"1 349,00 zł",https://www.x-kom.pl/p/709165-plyta-glowna-socket-1700-gigabyte-b660-aorus-master-ddr4.html
ASRock Z690 PRO RS DDR4,"989,00 zł",https://www.x-kom.pl/p/693238-plyta-glowna-socket-1700-asrock-z690-pro-rs-ddr4.html
ASUS ROG STRIX Z690‑F GAMING WIFI DDR5,"2 299,00 zł",https://www.x-kom.pl/p/691405-plyta-glowna-socket-1700-asus-rog-strix-z690-f-gaming-wifi-ddr5.html
ASUS PRIME Z690‑P WIFI DDR5,"1 549,00 zł",https://www.x-kom.pl/p/691383-plyta-glowna-socket-1700-asus-prime-z690-p-wifi-ddr5.html
Gigabyte X570S AERO G,"1 339,00 zł",https://www.x-kom.pl/p/684586-plyta-glowna-socket-am4-gigabyte-x570s-aero-g.html
ASRock A520M Pro4,"419,00 zł",https://www.x-kom.pl/p/613676-plyta-glowna-socket-am4-asrock-a520m-pro4.html
ASRock B550 Steel Legend,"999,00 zł",https://www.x-kom.pl/p/569385-plyta-glowna-socket-am4-asrock-b550-steel-legend.html
ASRock B550 Pro4,"629,00 zł",https://www.x-kom.pl/p/569384-plyta-glowna-socket-am4-asrock-b550-pro4.html
ASUS PRIME B550M‑K,"539,00 zł",https://www.x-kom.pl/p/569344-plyta-glowna-socket-am4-asus-prime-b550m-k.html
ASRock X570M Pro4,"1 049,00 zł",https://www.x-kom.pl/p/505625-plyta-glowna-socket-am4-asrock-x570m-pro4.html
Gigabyte B760 A MASTER DDR4,"1 199,00 zł",https://www.x-kom.pl/p/1109178-plyta-glowna-socket-1700-gigabyte-b760-a-master-ddr4.html
MSI MAG B550 TOMAHAWK MAX WIFI,"999,00 zł",https://www.x-kom.pl/p/1109062-plyta-glowna-socket-am4-msi-mag-b550-tomahawk-max-wifi.html
ASUS TUF GAMING B760M‑PLUS WIFI DDR4,"1 099,00 zł",https://www.x-kom.pl/p/1107477-plyta-glowna-socket-1700-asus-tuf-gaming-b760m-plus-wifi-ddr4.html
ASUS PROART B760‑CREATOR DDR4,"1 249,00 zł",https://www.x-kom.pl/p/1107475-plyta-glowna-socket-1700-asus-proart-b760-creator-ddr4.html
ASUS ROG STRIX B760‑A GAMING WIFI DDR4,"1 329,00 zł",https://www.x-kom.pl/p/1107466-plyta-glowna-socket-1700-asus-rog-strix-b760-a-gaming-wifi-ddr4.html
ASRock B760M‑HDV/M.2 DDR4,"519,00 zł",https://www.x-kom.pl/p/1107463-plyta-glowna-socket-1700-asrock-b760m-hdv-m2-ddr4.html
