product,price,link
Intel Core i5‑11600KF,"1 099,00 zł",https://www.x-kom.pl/p/626751-procesory-intel-core-i5-intel-core-i5-11600kf.html
Intel Core i5‑11600K,"1 149,00 zł",https://www.x-kom.pl/p/626721-procesory-intel-core-i5-intel-core-i5-11600k.html
AMD Ryzen 9 7900,"2 249,00 zł",https://www.x-kom.pl/p/1105317-procesor-amd-ryzen-9-amd-ryzen-9-7900.html
Intel Core i7‑10700K,"1 499,00 zł",https://www.x-kom.pl/p/564439-procesor-intel-core-i7-intel-core-i7-10700k.html
Intel Core i7‑13700,"2 069,00 zł",https://www.x-kom.pl/p/1101208-procesor-intel-core-i7-intel-core-i7-13700.html
Intel Core i5‑13400,"1 199,00 zł",https://www.x-kom.pl/p/1101198-procesory-intel-core-i5-intel-core-i5-13400.html
Intel Core i7‑12700,"1 779,00 zł",https://www.x-kom.pl/p/702225-procesor-intel-core-i7-intel-core-i7-12700.html
Intel Core i9‑12900KF,"2 199,00 zł",https://www.x-kom.pl/p/689633-procesor-intel-core-i9-intel-core-i9-12900kf.html
Intel Core i9‑12900K,"2 699,00 zł",https://www.x-kom.pl/p/689606-procesor-intel-core-i9-intel-core-i9-12900k.html
Intel Celeron G5905,"219,00 zł",https://www.x-kom.pl/p/628047-procesor-intel-celeron-intel-celeron-g5905.html
Intel Core i7‑11700K,"1 529,00 zł",https://www.x-kom.pl/p/626759-procesor-intel-core-i7-intel-core-i7-11700k.html
Intel Core i5‑10500,"1 099,00 zł",https://www.x-kom.pl/p/564464-procesory-intel-core-i5-intel-core-i5-10500.html
Intel Core i7‑10700F,"1 099,00 zł",https://www.x-kom.pl/p/564443-procesor-intel-core-i7-intel-core-i7-10700f.html
Intel Core i9‑10900KF,"1 849,00 zł",https://www.x-kom.pl/p/564430-procesor-intel-core-i9-intel-core-i9-10900kf.html
AMD Ryzen 3 3200G,"479,00 zł",https://www.x-kom.pl/p/500097-procesor-amd-ryzen-3-amd-ryzen-3-3200g.html
Intel Core i9‑13900,"3 039,00 zł",https://www.x-kom.pl/p/1101210-procesor-intel-core-i9-intel-core-i9-13900.html
Intel Core i9‑13900F,"2 799,00 zł",https://www.x-kom.pl/p/1101209-procesor-intel-core-i9-intel-core-i9-13900f.html
